gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,KO,cell_type,stimulation
IRF4,2306.91946479116,0.480773530806015,0.0680945563078266,7.06038128264822,1.66046354676406e-12,7.49649046789792e-11,CBFB,Teff,Stimulated
KLF2,369.909581712964,-1.29402245345911,0.419724243657782,-3.08303004415962,0.0020490446690194,0.0138962483917134,CBFB,Teff,Stimulated
KMT2A,2334.24748069568,0.170234776852838,0.0382445679251495,4.45121454074247,8.53859824337245e-06,0.00012305950329408,CBFB,Teff,Stimulated
LEF1,916.434381347484,0.280195813821545,0.0734870838745763,3.81285797514795,0.00013736905764019,0.0014047151808037,CBFB,Teff,Stimulated
MYB,965.681402623667,0.260643219162015,0.0812689094685999,3.2071701326658,0.0013404769410294,0.00979016865182593,CBFB,Teff,Stimulated
PTEN,808.211413744144,-0.300284557300082,0.0696585428574494,-4.31080733219744,1.62659585658739e-05,0.00021464052159083,CBFB,Teff,Stimulated
PURA,977.709021558862,-0.191494227326276,0.0491536600897511,-3.89582844851475,9.78636418223912e-05,0.00105081001562,CBFB,Teff,Stimulated
RAD21,4420.1006838731,-0.122068787611966,0.0431578189578756,-2.8284280939014,0.00467772081805969,0.0278423914649404,CBFB,Teff,Stimulated
RBPJ,2001.59911089889,0.453946514022199,0.0736127871187562,6.16668016237271,6.97386145600994e-10,2.1938255736918e-08,CBFB,Teff,Stimulated
REST,984.815458818255,-0.181361797608239,0.0556059696416734,-3.26155264941768,0.001108038538527,0.00838576412780865,CBFB,Teff,Stimulated
RUNX1,1322.00235339917,1.87660002122408,0.0697504497054671,26.904486338774,1.94619473041586e-159,1.52445433233474e-155,CBFB,Teff,Stimulated
RUNX3,1590.40472054007,0.266020712019849,0.0543599491888193,4.89368948995567,9.89629375608309e-07,1.77385970232034e-05,CBFB,Teff,Stimulated
SMARCB1,1322.0612532734,-0.18658732472332,0.0454112659992549,-4.10883336144784,3.97662874074747e-05,0.00047774437003489,CBFB,Teff,Stimulated
SS18,605.566369436212,0.356283980124838,0.0741028558463936,4.80796557778248,1.52474011142739e-06,2.62837055140744e-05,CBFB,Teff,Stimulated
STAT6,593.608643148051,0.306307235281187,0.0710485616176465,4.31123767050491,1.62343294457432e-05,0.00021444098237522,CBFB,Teff,Stimulated
TCF3,562.21221863042,0.211501358919199,0.0597289369581481,3.54101997608625,0.00039858339995351,0.00348838410260996,CBFB,Teff,Stimulated
TFDP1,1741.04222561437,0.169836940016401,0.0479731099158285,3.54025286904245,0.00039974382011199,0.0034965866476128,CBFB,Teff,Stimulated
YBX1,12529.8618051086,0.0890911451586891,0.0278370753282862,3.20044918900516,0.00137213560207726,0.00997869232154889,CBFB,Teff,Stimulated
ZEB1,1667.18059900798,-0.248232621594813,0.0467041257833261,-5.31500413360558,1.06654905739121e-07,2.31741435965197e-06,CBFB,Teff,Stimulated
CBFB,103.0579373254,-2.72615641583605,0.22217525065391,-12.2702974692833,1.30772016271459e-34,8.14448117338645e-31,CBFB,Treg,Resting
ETS1,1061.71135870842,-0.315713959547885,0.0847562692032751,-3.72496291443283,0.00019534393780893,0.00942548574753796,CBFB,Treg,Resting
FOXP3,947.572608147923,-1.35971779752524,0.141968811304124,-9.57758105484498,9.93443410506766e-22,2.06238852021205e-18,CBFB,Treg,Resting
IFNGR2,39.58672879983,0.865295268831831,0.21691912749279,3.9890224473662,6.63461437746155e-05,0.00413203783428305,CBFB,Treg,Resting
IL2RB,197.832598788609,-0.439343411619678,0.135715021845048,-3.23724968427811,0.00120687766432963,0.0400876484983729,CBFB,Treg,Resting
KLF2,1617.4503469224,-0.712653961636102,0.174992398439198,-4.07248525074486,4.6514146510364e-05,0.0030334042352518,CBFB,Treg,Resting
KLF6,375.869176056091,0.457459282481941,0.0808310528983908,5.65944975450207,1.51859100883483e-08,3.10091305017159e-06,CBFB,Treg,Resting
MYC,186.82846613418,-1.29540118817496,0.214552565657052,-6.03768677483715,1.56339157316996e-09,4.32746787453445e-07,CBFB,Treg,Resting
RUNX1,142.988264375243,0.969613366475078,0.122300256970208,7.92813842338262,2.22455274426563e-15,2.13146376789021e-12,CBFB,Treg,Resting
RUNX3,176.066408325877,0.683128116001287,0.137661382052817,4.96238019562516,6.96345187618062e-07,8.58779768016889e-05,CBFB,Treg,Resting
SS18,82.0062329665801,0.433351211060026,0.129770946362155,3.3393546337457,0.0008397328757163,0.030056645689432,CBFB,Treg,Resting
ZEB1,238.909210641587,0.389514122714947,0.104011061871412,3.74492977676258,0.00018044423984216,0.00888024052775035,CBFB,Treg,Resting
ARID5A,1696.27052831369,0.688584981118663,0.16711060139755,4.1205343967409,3.77994627045102e-05,0.00115010759560886,CBFB,Treg,Stimulated
BATF,3917.7332136561,-0.471626996238611,0.135163042432509,-3.48931917890283,0.00048425255642322,0.00935232076402559,CBFB,Treg,Stimulated
