sg_target,context,lineage,state,median_activation_score,mean_activation_score,control_median_activation_score,control_mean_activation_score,median_delta_vs_control,mean_delta_vs_control,p_value,padj
NFKB2,Stimulated-Teff,Teff,Stimulated,597.521917516804,570.877306628261,615.298856776435,578.688840507669,-17.776939259631,-7.81153387940799,0.0560270825952654,1.56875831266743
NFKB2,Stimulated-Treg,Treg,Stimulated,631.587987420619,589.40767651935,648.497795670027,611.592588006722,-16.909808249408,-22.1849114873714,0.0163161387747177,0.456851885692096
Non-Targeting,Resting-Teff,Teff,Resting,-308.42607476262,-272.268229488136,-308.42607476262,-272.268229488136,0,0,,
Non-Targeting,Resting-Treg,Treg,Resting,-260.128164278425,-212.807010627519,-260.128164278425,-212.807010627519,0,0,,
Non-Targeting,Stimulated-Teff,Teff,Stimulated,615.298856776435,578.688840507669,615.298856776435,578.688840507669,0,0,,
Non-Targeting,Stimulated-Treg,Treg,Stimulated,648.497795670027,611.592588006722,648.497795670027,611.592588006722,0,0,,
PRDM1,Resting-Teff,Teff,Resting,-314.118195973331,-275.424726152489,-308.42607476262,-272.268229488136,-5.69212121071104,-3.15649666435297,0.385128517043238,10.7835984772107
PRDM1,Resting-Treg,Treg,Resting,-278.348933645942,-230.510772199456,-260.128164278425,-212.807010627519,-18.220769367517,-17.703761571937,0.00714440488500662,0.200043336780185
PRDM1,Stimulated-Teff,Teff,Stimulated,627.941961170529,592.237030329657,615.298856776435,578.688840507669,12.6431043940936,13.5481898219876,0.0944129725273362,2.64356323076542
PRDM1,Stimulated-Treg,Treg,Stimulated,683.585774221607,641.806490887127,648.497795670027,611.592588006722,35.0879785515805,30.2139028804054,0.000896816238888864,0.0251108546888882
SOCS3,Resting-Teff,Teff,Resting,-232.249536168485,-171.457728590736,-308.42607476262,-272.268229488136,76.176538594135,100.8105008974,3.53484091033711e-09,9.89755454894391e-08
SOCS3,Resting-Treg,Treg,Resting,-202.069529585433,-139.124365368346,-260.128164278425,-212.807010627519,58.058634692992,73.682645259173,0.00117004209602901,0.0327611786888122
SOCS3,Stimulated-Teff,Teff,Stimulated,618.884323450966,591.708921155196,615.298856776435,578.688840507669,3.58546667453061,13.0200806475265,0.308489780467145,8.63771385308006
SOCS3,Stimulated-Treg,Treg,Stimulated,670.021630097276,630.401721451651,648.497795670027,611.592588006722,21.5238344272493,18.8091334449294,0.305762865746546,8.56136024090329
STAT5B,Resting-Teff,Teff,Resting,-269.181843747794,-260.775890995066,-308.42607476262,-272.268229488136,39.244231014826,11.49233849307,0.000448457029843632,0.0125567968356217
STAT5B,Resting-Treg,Treg,Resting,-247.420695800648,-204.090662955005,-260.128164278425,-212.807010627519,12.707468477777,8.71634767251399,0.178407571406477,4.99541199938135
STAT5B,Stimulated-Teff,Teff,Stimulated,526.900680045241,486.056604674203,615.298856776435,578.688840507669,-88.3981767311943,-92.6322358334665,3.99307619609147e-28,1.11806133490561e-26
STAT5B,Stimulated-Treg,Treg,Stimulated,506.664739115324,473.903201385652,648.497795670027,611.592588006722,-141.833056554703,-137.689386621069,5.73879049702595e-32,1.60686133916727e-30
TAF5L,Resting-Teff,Teff,Resting,-295.021162232365,-267.002230685523,-308.42607476262,-272.268229488136,13.404912530255,5.26599880261301,0.0972222743293208,2.72222368122098
TAF5L,Resting-Treg,Treg,Resting,-268.516195981214,-221.436502926303,-260.128164278425,-212.807010627519,-8.38803170278902,-8.62949229878402,0.576708631962605,16.1478416949529
TAF5L,Stimulated-Teff,Teff,Stimulated,623.621439464488,579.905510896045,615.298856776435,578.688840507669,8.32258268805265,1.21667038837563,0.557651413845583,15.6142395876763
TAF5L,Stimulated-Treg,Treg,Stimulated,649.187881511267,611.030990293229,648.497795670027,611.592588006722,0.690085841240261,-0.561597713492802,0.833947493064936,23.3505298058182
USP22,Resting-Teff,Teff,Resting,-268.408880713692,-232.014382893567,-308.42607476262,-272.268229488136,40.017194048928,40.253846594569,1.87450891154223e-09,5.24862495231824e-08
USP22,Resting-Treg,Treg,Resting,-240.077001601974,-192.090410922376,-260.128164278425,-212.807010627519,20.051162676451,20.716599705143,0.000610725824724213,0.0171003230922779
USP22,Stimulated-Teff,Teff,Stimulated,633.573561984361,595.436413306267,615.298856776435,578.688840507669,18.274705207926,16.7475727985977,0.0333584652271683,0.934037026360715
USP22,Stimulated-Treg,Treg,Stimulated,611.222978037272,585.237774289931,648.497795670027,611.592588006722,-37.2748176327551,-26.3548137167909,0.00122665242179618,0.034346267810293
ZNF217,Resting-Teff,Teff,Resting,-270.750413305801,-220.111471215881,-308.42607476262,-272.268229488136,37.675661456819,52.156758272255,3.92705068729332e-10,1.09957419244213e-08
ZNF217,Resting-Treg,Treg,Resting,-245.013678578522,-187.802488279243,-260.128164278425,-212.807010627519,15.114485699903,25.004522348276,0.0184805314436951,0.517454880423464
ZNF217,Stimulated-Teff,Teff,Stimulated,594.535100402409,567.59647296519,615.298856776435,578.688840507669,-20.7637563740261,-11.0923675424793,0.0903367253820762,2.52942831069813
ZNF217,Stimulated-Treg,Treg,Stimulated,640.794978407715,616.613521832667,648.497795670027,611.592588006722,-7.70281726231235,5.02093382594535,0.842985735846931,23.6036006037141
