gene,k562_de,k562_ad,is_control
SNRPG,217,284,False
CSDE1,216,243,False
LRPPRC,216,268,False
METTL17,215,228,False
NOP58,215,331,False
RPS3A,215,359,False
ATIC,214,266,False
SACM1L,213,274,False
TXNL4A,213,230,False
DDX41,212,327,False
NDUFA6,212,218,False
PTPMT1,212,251,False
SNRPA,212,216,False
TP53I13,212,224,False
CAMLG,211,245,False
MED16,211,315,False
PUM1,211,230,False
SETX,211,230,False
GBF1,210,381,False
MRPL51,210,217,False
RPL9,210,374,False
TPX2,210,380,False
CDK12,209,257,False
CNOT10,209,236,False
FOXS1,209,223,False
GPATCH1,209,317,False
MIER1,209,261,False
RSL24D1,209,355,False
SLC1A5,209,264,False
ACSL3,208,268,False
COPS5,208,268,False
GCLC,208,221,False
WDR74,208,237,False
CAST,207,278,False
GART,207,247,False
ARID5B,207,281,False
MRPL11,207,213,False
PSMA4,207,381,False
DCP2,206,229,False
CAD,205,258,False
NUFIP1,205,261,False
QRSL1,205,218,False
EHMT2,204,318,False
EXOSC10,204,286,False
RFC4,204,240,False
BRD2,204,232,False
CTNNBL1,203,221,False
DPH1,203,209,False
MRPS5,203,223,False
TOMM40,203,291,False
MTPAP,202,285,False
NDUFAF5,202,283,False
PRMT1,202,220,False
PPP1CA,201,224,False
BHLHE40,201,237,False
RANGAP1,200,223,False
THUMPD1,200,283,False
ADAT3,198,214,False
MPHOSPH6,198,285,False
SPAG7,198,264,False
TAF11,198,232,False
BUD23,198,251,False
PRKCA,197,277,False
ZBTB44,197,236,False
SRP14,196,229,False
CTU2,195,221,False
DHX29,195,325,False
EFR3A,195,258,False
NOMO1,195,281,False
ATP6V1B2,195,365,False
RPRD1B,195,214,False
SP2,195,208,False
TWNK,195,214,False
WDR43,195,287,False
INO80C,194,237,False
MZT1,194,224,False
STRIP1,194,276,False
ACSS2,193,260,False
NDUFA8,193,236,False
NDUFV2,193,200,False
PFN1,193,352,False
RBM42,193,205,False
VPS13D,193,244,False
ILF2,192,221,False
ZNF695,191,313,False
CCDC59,191,278,False
MRPS9,191,197,False
RPL13,190,310,False
URI1,190,289,False
WDR77,190,201,False
SOD1,189,191,False
BMP2K,189,239,False
AP2A1,188,335,False
RPL29,188,261,False
MEN1,187,230,False
PPP4C,187,201,False
REEP5,187,229,False
INTS11,186,341,False
EIF5,186,217,False
HHEX,186,227,False
HSF1,186,240,False
RPS27,186,408,False
USPL1,186,225,False
ANKRD17,185,251,False
ISG20L2,185,257,False
WDR26,185,247,False
CCT8,184,238,False
SNRNP40,184,207,False
FBXO42,183,207,False
MSL1,183,193,False
PEX19,183,252,False
SLC38A6,183,233,False
SUV39H1,183,272,False
